Model_ID	Name	Prediction Type	End Point	Group	Title	Number compounds in the training set	Number compounds in the test set	Validation approach	R2	RMSE	Balanced Accuracy	AUC	Descriptors	Machine learning approach	Applicability domain	Reference	Source	Link
CHEMBL1918	"Glutamate receptor ionotropic, kainate 1 -Log(IC50) M"	Regression	-Log(IC50) M	Target	"Glutamate receptor ionotropic, kainate 1 -Log(IC50) M model"	55	11	external test set validation 	0.44	0.428	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1919	Voltage-dependent calcium channel subunit alpha-2/delta-1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Voltage-dependent calcium channel subunit alpha-2/delta-1 -Log(IC50) M model	165	33	external test set validation 	0.66	0.484	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1921	Vasopressin V1b receptor -Log(IC50) M	Regression	-Log(IC50) M	Target	Vasopressin V1b receptor -Log(IC50) M model	135	27	external test set validation 	0.73	0.476	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1929	Xanthine dehydrogenase/oxidase -Log(IC50) M	Regression	-Log(IC50) M	Target	Xanthine dehydrogenase/oxidase -Log(IC50) M model	210	42	external test set validation 	0.72	0.578	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1932895	Natural resistance-associated macrophage protein 2 -Log(IC50) M	Regression	-Log(IC50) M	Target	Natural resistance-associated macrophage protein 2 -Log(IC50) M model	45	9	external test set validation 	0.32	0.268	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1935	"Aldehyde dehydrogenase, mitochondrial -Log(IC50) M"	Regression	-Log(IC50) M	Target	"Aldehyde dehydrogenase, mitochondrial -Log(IC50) M model"	130	26	external test set validation 	0.61	0.583	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1936	Mast/stem cell growth factor receptor Kit -Log(IC50) M	Regression	-Log(IC50) M	Target	Mast/stem cell growth factor receptor Kit -Log(IC50) M model	780	156	external test set validation 	0.6	0.674	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1937	Histone deacetylase 2 -Log(IC50) M	Regression	-Log(IC50) M	Target	Histone deacetylase 2 -Log(IC50) M model	825	165	external test set validation 	0.73	0.568	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1938209	Lysine-specific demethylase 3A -Log(IC50) M	Regression	-Log(IC50) M	Target	Lysine-specific demethylase 3A -Log(IC50) M model	25	5	external test set validation 	0.09	0.576	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1938210	Lysine-specific demethylase 2A|Lysine-specific demethylase 2A -Log(IC50) M	Regression	-Log(IC50) M	Target	Lysine-specific demethylase 2A|Lysine-specific demethylase 2A -Log(IC50) M model	60	12	external test set validation 	0.41	0.763	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1938211	Lysine-specific demethylase 6B -Log(IC50) M	Regression	-Log(IC50) M	Target	Lysine-specific demethylase 6B -Log(IC50) M model	60	12	external test set validation 	0.75	0.458	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1938212	Histone lysine demethylase PHF8|Histone lysine demethylase PHF8 -Log(IC50) M	Regression	-Log(IC50) M	Target	Histone lysine demethylase PHF8|Histone lysine demethylase PHF8 -Log(IC50) M model	35	7	external test set validation 	0.13	0.678	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1940	Voltage-dependent L-type calcium channel subunit alpha-1C -Log(IC50) M	Regression	-Log(IC50) M	Target	Voltage-dependent L-type calcium channel subunit alpha-1C -Log(IC50) M model	110	22	external test set validation 	0.72	0.69	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1941	Histamine H2 receptor -Log(IC50) M	Regression	-Log(IC50) M	Target	Histamine H2 receptor -Log(IC50) M model	115	23	external test set validation 	0.01	0.505	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1942	Alpha-2B adrenergic receptor -Log(IC50) M	Regression	-Log(IC50) M	Target	Alpha-2B adrenergic receptor -Log(IC50) M model	120	24	external test set validation 	0.6	0.766	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1943	"HLA class II histocompatibility antigen, DRB1-1 beta chain -Log(IC50) M"	Regression	-Log(IC50) M	Target	"HLA class II histocompatibility antigen, DRB1-1 beta chain -Log(IC50) M model"	40	8	external test set validation 	0.45	1.14	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1944	Neprilysin -Log(IC50) M	Regression	-Log(IC50) M	Target	Neprilysin -Log(IC50) M model	305	61	external test set validation 	0.68	0.933	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1945	Melatonin receptor type 1A -Log(IC50) M	Regression	-Log(IC50) M	Target	Melatonin receptor type 1A -Log(IC50) M model	170	34	external test set validation 	0.66	0.962	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1946	Melatonin receptor type 1B -Log(IC50) M	Regression	-Log(IC50) M	Target	Melatonin receptor type 1B -Log(IC50) M model	75	15	external test set validation 	0.69	0.758	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1947	Thyroid hormone receptor beta -Log(IC50) M	Regression	-Log(IC50) M	Target	Thyroid hormone receptor beta -Log(IC50) M model	330	66	external test set validation 	0.7	0.699	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1949	Peptidyl-prolyl cis-trans isomerase A -Log(IC50) M	Regression	-Log(IC50) M	Target	Peptidyl-prolyl cis-trans isomerase A -Log(IC50) M model	160	32	external test set validation 	0.68	0.876	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1951	Amine oxidase [flavin-containing] A -Log(IC50) M	Regression	-Log(IC50) M	Target	Amine oxidase [flavin-containing] A -Log(IC50) M model	1250	250	external test set validation 	0.65	0.646	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1952	Thymidylate synthase -Log(IC50) M	Regression	-Log(IC50) M	Target	Thymidylate synthase -Log(IC50) M model	305	61	external test set validation 	0.62	0.704	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1954	Ribonucleoside-diphosphate reductase subunit M2 -Log(IC50) M	Regression	-Log(IC50) M	Target	Ribonucleoside-diphosphate reductase subunit M2 -Log(IC50) M model	10	2	external test set validation 	1	0.382	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1955	Vascular endothelial growth factor receptor 3 -Log(IC50) M	Regression	-Log(IC50) M	Target	Vascular endothelial growth factor receptor 3 -Log(IC50) M model	215	43	external test set validation 	0.53	0.917	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1957	Insulin-like growth factor 1 receptor -Log(IC50) M	Regression	-Log(IC50) M	Target	Insulin-like growth factor 1 receptor -Log(IC50) M model	1455	291	external test set validation 	0.81	0.541	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1966	"Dihydroorotate dehydrogenase (quinone), mitochondrial -Log(IC50) M"	Regression	-Log(IC50) M	Target	"Dihydroorotate dehydrogenase (quinone), mitochondrial -Log(IC50) M model"	465	93	external test set validation 	0.77	0.602	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL1968	Epoxide hydrolase 1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Epoxide hydrolase 1 -Log(IC50) M model	265	53	external test set validation 	0.74	0.655	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
